year,meeting_date,pdf_url,Special Conference Call
2025,"September 11, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-September-11-2025.pdf,False
2025,"August 14, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-August-14-2025.pdf,False
2025,"July 10, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-July-10-2025.pdf,False
2025,"June 12, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-June-12-2025.pdf,False
2025,"May 8, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-May-8-2025.pdf,False
2025,"April 10, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-April-10-2025.pdf,False
2025,"March 13, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-March-13-2025.pdf,False
2025,"February 14, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-February-14-2025.pdf,False
2025,"January 16, 2025",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-January-16-2025.pdf,False
2024,"December 12, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-December-12-2024.pdf,False
2024,"November 14, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-November-14-2024.pdf,False
2024,"October 10, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-October-10-2024.pdf,False
2024,"September 12, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-September-12-2024.pdf,False
2024,"August 8, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-August-8-2024.pdf,False
2024,"July 11, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-July-11-2024.pdf,False
2024,"June 6, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-June-6-2024.pdf,False
2024,"May 9, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-May-9-2024.pdf,False
2024,"April 11, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-April-11-2024.pdf,False
2024,"March 14, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-March-14-2024.pdf,False
2024,"February 8, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-February-8-2024.pdf,False
2024,"January 11, 2024",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-January-11-2024.pdf,False
2023,"December 14, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-December-14-2023.pdf,False
2023,"November 9, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-November-9-2023.pdf,False
2023,"October 12, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-October-12-2023.pdf,False
2023,"September 14, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-September-14-2023.pdf,False
2023,"August 15, 2023 (Special Conference Call)",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Special-Conference-Call-Meeting-Minutes-August-15-2023.pdf,True
2023,"August 10, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-August-10-2023.pdf,False
2023,"July 13, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-Minutes-July-13-2023.pdf,False
2023,"June 8, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-June-8-2023.pdf,False
2023,"May 11, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-May-11-2023.pdf,False
2023,"April 13, 2023",https://dps.arkansas.gov/wp-content/uploads/Minutes-April-13-2023.pdf,False
2023,"March 9, 2023",https://dps.arkansas.gov/wp-content/uploads/ASP-Commission-Meeting-Minutes-March-09-2023.pdf,False
2023,"February 9, 2023",https://dps.arkansas.gov/wp-content/uploads/Minutes-February-09-2023.pdf,False
2023,"January 20, 2023 (Special Conference Call)",https://dps.arkansas.gov/wp-content/uploads/Minutes-Special-Conference-Call-Meeting-January-20-2023.pdf,True
2023,"January 12, 2023",https://dps.arkansas.gov/wp-content/uploads/Minutes-January-12-2023.pdf,False
2022,"December 27, 2022",https://dps.arkansas.gov/wp-content/uploads/Minutes-Special-Conference-Call-Meeting-December-27-2022.pdf,False
2022,"December 8, 2022",https://dps.arkansas.gov/wp-content/uploads/Minutes-December-08-2022.pdf,False
2022,"November 10, 2022",https://dps.arkansas.gov/wp-content/uploads/2023/01/Minutes-November-10-2022.pdf,False
2022,"October 13, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/11/Minutes-October-13-2022.pdf,False
2022,"September 15, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/10/Minutes-September-15-2022.pdf,False
2022,"August 11,2022",https://dps.arkansas.gov/wp-content/uploads/2022/10/Minutes-August-11-2022.pdf,False
2022,"July 14, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/08/Minutes-July-14-2022.pdf,False
2022,"June 2, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/08/Minutes-June-2-2022-R.pdf,False
2022,"May 12, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/06/Minutes-May-12-2022.pdf,False
2022,"April 14, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/05/Minutes-April-14-2022.pdf,False
2022,"March 10, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/04/Minutes-March-10-2022.pdf,False
2022,"February 10, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/03/Minutes-February-10-2022.pdf,False
2022,"January 13, 2022",https://dps.arkansas.gov/wp-content/uploads/2022/02/Minutes-January-13-2022.pdf,False
2021,"December 9, 2021",https://dps.arkansas.gov/wp-content/uploads/2022/02/Minutes-December-09-2021-.pdf,False
2021,"November 30, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/12/Minutes-Special-Conference-Call-Meeting-November-30-2021.pdf,False
2021,"November 10, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/12/Minutes-November-10-2021-.pdf,False
2021,"October 14, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/11/Minutes-October-14-2021_.pdf,False
2021,"September 2, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/10/Minutes-September-02-2021-.pdf,False
2021,"August 12, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/09/Minutes-August-12-2021-.pdf,False
2021,"July 8, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/09/Minutes-July-08-2021-.pdf,False
2021,"June 10, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/07/Minutes-June-10-2021_.pdf,False
2021,"May 13, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/07/Minutes-May-13-2021_.pdf,False
2021,"April 8, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/07/Minutes-April-08-2021_-002.pdf,False
2021,"March 11, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/04/Minutes-March-11-2021_.pdf,False
2021,"February 11, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/04/Minutes-February-11-2021-Conference-Call-Meeting.pdf,False
2021,"January 14, 2021",https://dps.arkansas.gov/wp-content/uploads/2021/03/Minutes-January-14-2021.pdf,False
2020,"December 10, 2020",https://dps.arkansas.gov/wp-content/uploads/2021/03/Minutes-December-10-2020-Meeting.pdf,False
2020,"November 30th, 2020",https://dps.arkansas.gov/wp-content/uploads/2021/04/Minutes-Special-Conference-Call-Meeting-November-30-2020.pdf,False
2020,"November 12, 2020",https://dps.arkansas.gov/wp-content/uploads/2021/03/Minutes-November-12-2020-Meeting.pdf,False
2020,"October 7, 2020",https://dps.arkansas.gov/wp-content/uploads/2021/03/Minutes-October-07-2020-Meeting.pdf,False
2020,"September 10, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/10/aspc_09102020.pdf,False
2020,"August 13, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/10/aspc_08132020.pdf,False
2020,"July 9, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/08/Minutes-July-09-2020-Conference-Call-Meeting.pdf,False
2020,"June 11, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/08/Minutes-June-11-2020-Conference-Call-Meeting.pdf,False
2020,"May 14, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/08/Minutes-May-14-2020-Conference-Call-Meeting.pdf,False
2020,"May 1, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_05012020.pdf,False
2020,"April 9, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04092020.pdf,False
2020,"March 12, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_03122020.pdf,False
2020,"February 13, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02132020.pdf,False
2020,"January 9, 2020",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_01092020.pdf,False
2019,"December 5, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_12052019.pdf,False
2019,"November 14, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11142019.pdf,False
2019,"October 10, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_10102019.pdf,False
2019,"September 12, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_09122019.pdf,False
2019,"August 8, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08082019.pdf,False
2019,"July 11, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_07112019.pdf,False
2019,"June 27, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06272019.pdf,False
2019,"June 11, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06112019.pdf,False
2019,"May 9, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_05092019.pdf,False
2019,"April 11, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04112019.pdf,False
2019,"March 11, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_03112019.pdf,False
2019,"February 14, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02142019.pdf,False
2019,"January 18, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_01182019.pdf,False
2019,"January 10, 2019",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_01102019.pdf,False
2018,"December 13, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_12132018.pdf,False
2018,"November 15, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11152018.pdf,False
2018,"October 11, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_10112018.pdf,False
2018,"September 20, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_09202018.pdf,False
2018,"August 17, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_08172018.pdf,False
2018,"July 19, 201",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_07192018.pdf,False
2018,"June 21, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_06212018.pdf,False
2018,"May 10, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_05102018.pdf,False
2018,"April 19, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_04192018.pdf,False
2018,"March 15, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_03152018.pdf,False
2018,"February 1, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_02012018.pdf,False
2018,"January 11, 2018",https://dps.arkansas.gov/wp-content/uploads/2020/07/Minutes_January_11_2018.pdf,False
2017,"December 14, 2017",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_12142017.pdf,False
2017,"November 30, 2017",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11302017.pdf,False
2017,"November 9,2017",https://dps.arkansas.gov/wp-content/uploads/2020/07/aspc_11092017.pdf,False
