facility_name,phone,url,category
Allen Correctional Center,(337) 639-2943,https://doc.la.gov/location/allen-correctional-center/,Correctional Facilities
B.B. Rayburn Correctional Center,(985) 661-6300,https://doc.la.gov/location/b-b-rayburn-correctional-center/,Correctional Facilities
David Wade Correctional Center,(318) 927-0400,https://doc.la.gov/location/david-wade-correctional-center/,Correctional Facilities
Dixon Correctional Institute,(225) 634-1200,https://doc.la.gov/location/dixon-correctional-institute/,Correctional Facilities
Elayn Hunt Correctional Center,(225) 642-3306,https://doc.la.gov/location/elayn-hunt-correctional-center/,Correctional Facilities
Louisiana Correctional Institute for Women,(225) 319-2701,https://doc.la.gov/location/louisiana-correctional-institute-for-women/,Correctional Facilities
Louisiana State Penitentiary,(225) 655-4411,https://doc.la.gov/location/louisiana-state-penitentiary/,Correctional Facilities
Raymond Laborde Correctional Center,(318) 876-2891,https://doc.la.gov/location/raymond-laborde-correctional-center/,Correctional Facilities
Acadia Parish,,https://doc.la.gov/location/acadia-parish-jails-offices/,Local Jails & Offices
Allen Parish,,https://doc.la.gov/location/allen-parish-jails-offices/,Local Jails & Offices
Ascension Parish,,https://doc.la.gov/location/ascension-parish-jails-offices/,Local Jails & Offices
Assumption Parish,,https://doc.la.gov/location/assumption-jails-offices/,Local Jails & Offices
Avoyelles Parish,,https://doc.la.gov/location/avoyelles-parish/,Local Jails & Offices
Beauregard Parish,,https://doc.la.gov/location/beauregard_parish/,Local Jails & Offices
Bienville Parish,,https://doc.la.gov/location/bienville_parish/,Local Jails & Offices
Bossier Parish,,https://doc.la.gov/location/bossier_parish/,Local Jails & Offices
Caddo Parish,,https://doc.la.gov/location/caddo_parish/,Local Jails & Offices
Calcasieu Parish,,https://doc.la.gov/location/calcasieu_parish/,Local Jails & Offices
Caldwell Parish,,https://doc.la.gov/location/caldwell_parish/,Local Jails & Offices
Cameron Parish,,https://doc.la.gov/location/cameron-parish/,Local Jails & Offices
Catahoula Parish,,https://doc.la.gov/location/catahoula_parish/,Local Jails & Offices
Claiborne Parish,,https://doc.la.gov/location/claiborne-parish/,Local Jails & Offices
Concordia Parish,,https://doc.la.gov/location/concordia_parish/,Local Jails & Offices
Desoto Parish,,https://doc.la.gov/location/desoto-parish/,Local Jails & Offices
East Baton Rouge Parish,,https://doc.la.gov/location/east_baton_rouge/,Local Jails & Offices
East Carroll Parish,,https://doc.la.gov/location/east_carroll_parish/,Local Jails & Offices
East Feliciana Parish,,https://doc.la.gov/location/east_feliciana_parish/,Local Jails & Offices
Evangeline Parish,,https://doc.la.gov/location/evangeline_parish/,Local Jails & Offices
Evangeline Parish,,https://doc.la.gov/location/evangeline_parish-2/,Local Jails & Offices
Franklin Parish,,https://doc.la.gov/location/franklin-parish/,Local Jails & Offices
Grant Parish,,https://doc.la.gov/location/grant-parish/,Local Jails & Offices
Iberia Parish,,https://doc.la.gov/location/iberia-parish/,Local Jails & Offices
Iberville Parish,,https://doc.la.gov/location/iberville-parish/,Local Jails & Offices
Jackson Parish,,https://doc.la.gov/location/jackson-parish/,Local Jails & Offices
