fy,title,title_url,original_solicitation,original_solicitation_url,recipient,state,award_number,amount,status
2024,A Combined Molecular Analysis of Pollen Utilizing Lipid Profiling & DNA Barcoding for Plant Species Identification: A Forensic Application,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01571-ress,NIJ FY24 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171946,THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,FL,15PNIJ-24-GG-01571-RESS,"$120,000",Open
2024,A Comparative Evaluation of the MinION and MiSeq Sequencing Platforms for the Analysis of Human Hand Microbial Profiles for Forensic Investigations.,https://nij.ojp.gov/funding/awards/15pnij-24-gg-03842-slfo,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171962,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-24-GG-03842-SLFO,"$487,790",Open
2024,A Comprehensive Evaluation and Error Rate Assessment of Field Colorimetric Testing for Seized Drugs,https://nij.ojp.gov/funding/awards/15pnij-24-gg-03851-slfo,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171962,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-03851-SLFO,"$499,902",Open
2024,A Focused Deterrence Program for Juveniles with Firearm Offenses: a Randomized Controlled Trial and Process Evaluation,https://nij.ojp.gov/funding/awards/15pnij-24-gg-03092-mumu,NIJ FY24 Research and Evaluation on Youth Justice Topics,https://nij.ojp.gov/funding/opportunities/o-nij-2024-172022,FLORIDA STATE UNIVERSITY,FL,15PNIJ-24-GG-03092-MUMU,"$1,255,241",Open
2024,A Multi-District Analysis of School Safety in School Districts Awarded STOP School Violence Grants in Fiscal Years 2018–2023,https://nij.ojp.gov/funding/awards/15pnij-24-gk-01051-stop,NIJ FY24 Research and Evaluation on School Safety,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171992,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GK-01051-STOP,"$933,524",Open
2024,"A Multi-Method Genetic, Craniometric, and Isotopic Approach to Estimating Geographic Origin of Unidentified Latinx Remains",https://nij.ojp.gov/funding/awards/15pnij-24-gg-01578-ress,NIJ FY24 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171946,TEXAS STATE UNIVERSITY,TX,15PNIJ-24-GG-01578-RESS,"$180,000",Open
2024,A National Review of Multidisciplinary Teams addressing Child Sexual Exploitation,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01653-mumu,NIJ FY24 Research on Multidisciplinary Teams,https://nij.ojp.gov/funding/opportunities/o-nij-2024-172031,UNIVERSITY OF NEBRASKA,NE,15PNIJ-24-GG-01653-MUMU,"$1,499,977",Open
2024,A Pilot Study: Behavioral Response and Community Engagement (BRACE) Team,https://nij.ojp.gov/funding/awards/15pnij-24-gg-05448-nijb,NIJ FY24 Field-Initiated Action Research Partnerships,https://nij.ojp.gov/funding/opportunities/o-nij-2024-172070,UNIVERSITY OF SOUTH FLORIDA,FL,15PNIJ-24-GG-05448-NIJB,"$399,995",Open
2024,A Statewide Assessment of the Impact of Virtual Check-Ins for Community Supervision,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01083-fsax,NIJ FY24 Research and Evaluation on Corrections,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171970,RESEARCH TRIANGLE INSTITUTE,NC,15PNIJ-24-GG-01083-FSAX,"$1,157,850",Open
2024,A Study of a Statewide Safe Firearms Storage Message Campaign in Texas Schools,https://nij.ojp.gov/funding/awards/15pnij-24-gg-02407-stop,NIJ FY24 Research and Evaluation on Firearm Violence and Mass Shootings,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171966,WESTED,CA,15PNIJ-24-GG-02407-STOP,"$846,618",Open
2024,A Universal Method for the Detection of Gunshot Residue using Vibrational Spectroscopy,https://nij.ojp.gov/funding/awards/15pnij-24-gg-03857-nijb,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171962,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",NY,15PNIJ-24-GG-03857-NIJB,"$556,572",Open
2024,ABCD Social Development (ABCD-SD),https://nij.ojp.gov/funding/awards/2017-mu-cx-0044/7,NIJ FY24 Invited to Apply – Adolescent Brain Cognitive Development: Social Development Sub-study (ABCD-SD),https://nij.ojp.gov/funding/opportunities/o-nij-2024-172213,UNIVERSITY OF PITTSBURGH - OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION,PA,2017-MU-CX-0044,"$1,800,000",Open
2024,Advancing Denver’s Handgun Intervention Program through Action Research,https://nij.ojp.gov/funding/awards/15pnij-24-gg-05450-nijb,NIJ FY24 Field-Initiated Action Research Partnerships,https://nij.ojp.gov/funding/opportunities/o-nij-2024-172070,UNIVERSITY OF DENVER,CO,15PNIJ-24-GG-05450-NIJB,"$425,000",Open
2024,Advancing New Psychoactive Substance Detection by Performance Comparison of High-Resolution Mass Spectrometry Techniques,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01569-ress,NIJ FY24 Graduate Research Fellowship,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171946,FLORIDA INTERNATIONAL UNIVERSITY,FL,15PNIJ-24-GG-01569-RESS,"$119,881",Open
2024,Age estimation from epigenetic features of hair DNA,https://nij.ojp.gov/funding/awards/15pnij-24-gg-03843-slfo,NIJ FY24 Research and Development in Forensic Science for Criminal Justice Purposes,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171962,UNIVERSITY OF CALIFORNIA SANTA CRUZ,CA,15PNIJ-24-GG-03843-SLFO,"$640,358",Open
2024,American Association for the Advancement of Science (AAAS) Science & Technology Policy Fellowships 2024-25,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01170-ress,NIJ FY24 Invited to Apply - American Association for the Advancement of Science (AAAS) Science & Technology Policy Fellowships (STPF),https://nij.ojp.gov/funding/opportunities/o-nij-2024-172214,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,DC,15PNIJ-24-GG-01170-RESS,"$315,000",Open
2024,An Evaluation of Active Bystandership for Law Enforcement (ABLE) Training: A Multi-Method Approach to Measuring Effectiveness,https://nij.ojp.gov/funding/awards/15pnij-24-gg-02575-ress,NIJ FY24 Research and Evaluation of Policing Practices,https://nij.ojp.gov/funding/opportunities/o-nij-2024-172011,THE CNA CORPORATION,VA,15PNIJ-24-GG-02575-RESS,"$1,001,561",Open
2024,Assessing the Implementation and Impact of Restorative Practices within a Multicomponent School Safety Approach,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01055-stop,NIJ FY24 Research and Evaluation on School Safety,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171992,THE URBAN INSTITUTE,DC,15PNIJ-24-GG-01055-STOP,"$1,083,944",Open
2024,Assessing Transgender Hate Crime Victimization and LGBTQ Liaison Unit Response,https://nij.ojp.gov/funding/awards/15pnij-24-gg-01915-ress,NIJ FY24 Research and Evaluation on Hate Crimes,https://nij.ojp.gov/funding/opportunities/o-nij-2024-171949,THE CNA CORPORATION,VA,15PNIJ-24-GG-01915-RESS,"$694,620",Open
